id,probability,payoutMultiplier
1300,1000000,90.69
1301,1000000,244.76
1302,1000000,91.04
1303,1000000,144.96
1304,1000000,94.02
1305,1000000,14.49
1306,1000000,57.44
1307,1000000,5.4
1308,1000000,103.59
1309,1000000,9.97
1310,1000000,54.71
1311,1000000,94.21
1312,1000000,92.67
1313,1000000,90.3
1314,1000000,222.68
1315,1000000,137.35
1316,1000000,176.12
1317,1000000,19.95
1318,1000000,14.79
1319,1000000,107.81
1320,1000000,204.52
1321,1000000,117.74
1322,1000000,31.14
1323,1000000,0.0
1324,1000000,27.86
1325,1000000,144.74
1326,1000000,19.03
1327,1000000,386.09
1328,1000000,183.99
1329,1000000,248.38
1330,1000000,0.04
1331,1000000,217.45
1332,1000000,274.6
1333,1000000,44.3
1334,1000000,98.02
1335,1000000,247.11
1336,1000000,1.63
1337,1000000,223.97
1338,1000000,12.04
1339,1000000,0.02
1340,1000000,155.85
1341,1000000,189.06
1342,1000000,28.04
1343,1000000,145.17
1344,1000000,0.81
1345,1000000,70.65
1346,1000000,0.84
1347,1000000,81.7
1348,1000000,185.44
1349,1000000,20.99
1350,1000000,123.16
1351,1000000,0.54
1352,1000000,0.29
1353,1000000,189.75
